SECTION,Ag,Ix,rx,Iy,ry,Height,Width,b/t,h/t,t,Zx,Sx,J,C,Zy,Sy
HSS8X8X5/8,16.4,146,2.99,146,2.99,8,8,10.8,10.8,0.581,44.7,36.5,244,63.2,44.7,36.5
HSS8X8X1/2,13.5,125,3.04,125,3.04,8,8,14.2,14.2,0.465,37.5,31.2,204,52.4,37.5,31.2
HSS8X8X3/8,10.4,100,3.1,100,3.1,8,8,19.9,19.9,0.349,29.4,24.9,160,40.7,29.4,24.9
HSS8X8X5/16,8.76,85.6,3.13,85.6,3.13,8,8,24.5,24.5,0.291,25.1,21.4,136,34.5,25.1,21.4
HSS8X8X1/4,7.1,70.7,3.15,70.7,3.15,8,8,31.3,31.3,0.233,20.5,17.7,111,28.1,20.5,17.7
HSS8X8X3/16,5.37,54.4,3.18,54.4,3.18,8,8,43,43,0.174,15.7,13.6,84.5,21.3,15.7,13.6
HSS8X8X1/8,3.62,37.4,3.21,37.4,3.21,8,8,65.9,65.9,0.116,10.7,9.34,57.3,14.4,10.7,9.34
HSS8X6X5/8,14,114,2.85,72.3,2.27,8,6,7.33,10.8,0.581,36.1,28.5,150,46,29.5,24.1
HSS8X6X1/2,11.6,98.2,2.91,62.5,2.32,8,6,9.91,14.2,0.465,30.5,24.6,127,38.4,24.9,20.8
HSS8X6X3/8,8.97,79.1,2.97,50.6,2.38,8,6,14.2,19.9,0.349,24.1,19.8,100,30,19.8,16.9
HSS8X6X5/16,7.59,68.3,3,43.8,2.4,8,6,17.6,24.5,0.291,20.6,17.1,85.8,25.5,16.9,14.6
HSS8X6X1/4,6.17,56.6,3.03,36.4,2.43,8,6,22.7,31.3,0.233,16.9,14.2,70.3,20.8,13.9,12.1
HSS8X6X3/16,4.67,43.7,3.06,28.2,2.46,8,6,31.5,43,0.174,13,10.9,53.7,15.8,10.7,9.39
HSS8X4X5/8,11.7,82,2.64,26.6,1.51,8,4,3.89,10.8,0.581,27.4,20.5,70.3,28.7,16.6,13.3
HSS8X4X1/2,9.74,71.8,2.71,23.6,1.56,8,4,5.59,14.2,0.465,23.5,17.9,61.1,24.4,14.3,11.8
HSS8X4X3/8,7.58,58.7,2.78,19.6,1.61,8,4,8.45,19.9,0.349,18.8,14.7,49.3,19.3,11.5,9.8
HSS8X4X5/16,6.43,51,2.82,17.2,1.63,8,4,10.8,24.5,0.291,16.1,12.8,42.6,16.5,9.91,8.58
HSS8X4X1/4,5.24,42.5,2.85,14.4,1.66,8,4,14.2,31.3,0.233,13.3,10.6,35.3,13.6,8.2,7.21
HSS8X4X3/16,3.98,33.1,2.88,11.3,1.69,8,4,20,43,0.174,10.2,8.27,27.2,10.4,6.33,5.65
HSS8X4X1/8,2.7,22.9,2.92,7.9,1.71,8,4,31.5,65.9,0.116,7.02,5.73,18.7,7.1,4.36,3.95
HSS8X3X1/2,8.81,58.6,2.58,11.7,1.15,8,3,3.44,14.2,0.465,20,14.6,34.3,17.4,9.64,7.81
HSS8X3X3/8,6.88,48.5,2.65,10,1.2,8,3,5.59,19.9,0.349,16.1,12.1,28.5,14,7.88,6.63
HSS8X3X5/16,5.85,42.4,2.69,8.81,1.23,8,3,7.32,24.5,0.291,13.9,10.6,24.9,12.1,6.84,5.87
HSS8X3X1/4,4.77,35.5,2.73,7.49,1.25,8,3,9.87,31.3,0.233,11.5,8.88,20.8,10,5.7,4.99
HSS8X3X3/16,3.63,27.8,2.77,5.94,1.28,8,3,14.3,43,0.174,8.87,6.94,16.2,7.68,4.43,3.96
HSS8X3X1/8,2.46,19.3,2.8,4.2,1.31,8,3,22.8,65.9,0.116,6.11,4.83,11.3,5.27,3.07,2.8
HSS8X2X3/8,6.18,38.2,2.49,3.73,0.777,8,2,2.73,19.9,0.349,13.4,9.56,12.1,8.65,4.61,3.73
HSS8X2X5/16,5.26,33.7,2.53,3.38,0.802,8,2,3.88,24.5,0.291,11.6,8.43,10.9,7.57,4.06,3.38
HSS8X2X1/4,4.3,28.5,2.57,2.94,0.827,8,2,5.58,31.3,0.233,9.68,7.12,9.36,6.35,3.43,2.94
HSS8X2X3/16,3.28,22.4,2.61,2.39,0.853,8,2,8.51,43,0.174,7.51,5.61,7.48,4.95,2.7,2.39
HSS8X2X1/8,2.23,15.7,2.65,1.72,0.879,8,2,14.2,65.9,0.116,5.19,3.93,5.3,3.44,1.9,1.72
HSS7X7X5/8,14,93.4,2.58,93.4,2.58,7,7,9.05,9.05,0.581,33.1,26.7,158,47.1,33.1,26.7
HSS7X7X1/2,11.6,80.5,2.63,80.5,2.63,7,7,12,12,0.465,27.9,23,133,39.3,27.9,23
HSS7X7X3/8,8.97,65,2.69,65,2.69,7,7,17,17,0.349,22.1,18.6,105,30.7,22.1,18.6
HSS7X7X5/16,7.59,56.1,2.72,56.1,2.72,7,7,21.1,21.1,0.291,18.9,16,89.7,26.1,18.9,16
HSS7X7X1/4,6.17,46.5,2.75,46.5,2.75,7,7,27,27,0.233,15.5,13.3,73.5,21.3,15.5,13.3
HSS7X7X3/16,4.67,36,2.77,36,2.77,7,7,37.2,37.2,0.174,11.9,10.3,56.1,16.2,11.9,10.3
HSS7X7X1/8,3.16,24.8,2.8,24.8,2.8,7,7,57.3,57.3,0.116,8.13,7.09,38.2,11,8.13,7.09
HSS7X5X1/2,9.74,60.6,2.5,35.6,1.91,7,5,7.74,12,0.465,21.9,17.3,75.8,27.2,17.3,14.2
HSS7X5X3/8,7.58,49.5,2.56,29.3,1.97,7,5,11.3,17,0.349,17.5,14.1,60.6,21.4,13.8,11.7
HSS7X5X5/16,6.43,43,2.59,25.5,1.99,7,5,14.2,21.1,0.291,15,12.3,52.1,18.3,11.9,10.2
HSS7X5X1/4,5.24,35.9,2.62,21.3,2.02,7,5,18.5,27,0.233,12.4,10.2,42.9,15,9.83,8.53
HSS7X5X3/16,3.98,27.9,2.65,16.6,2.05,7,5,25.7,37.2,0.174,9.52,7.96,32.9,11.4,7.57,6.65
HSS7X5X1/8,2.7,19.3,2.68,11.6,2.07,7,5,40.1,57.3,0.116,6.53,5.52,22.5,7.79,5.2,4.63
HSS7X4X1/2,8.81,50.7,2.4,20.7,1.53,7,4,5.59,12,0.465,18.8,14.5,50.5,21.1,12.6,10.4
HSS7X4X3/8,6.88,41.8,2.46,17.3,1.58,7,4,8.45,17,0.349,15.1,11.9,41,16.8,10.2,8.63
HSS7X4X5/16,5.85,36.5,2.5,15.2,1.61,7,4,10.8,21.1,0.291,13.1,10.4,35.4,14.4,8.83,7.58
HSS7X4X1/4,4.77,30.5,2.53,12.8,1.64,7,4,14.2,27,0.233,10.8,8.72,29.3,11.8,7.33,6.38
HSS7X4X3/16,3.63,23.8,2.56,10,1.66,7,4,20,37.2,0.174,8.33,6.81,22.7,9.07,5.67,5.02
HSS7X4X1/8,2.46,16.6,2.59,7.03,1.69,7,4,31.5,57.3,0.116,5.73,4.73,15.6,6.2,3.91,3.51
HSS7X3X1/2,7.88,40.7,2.27,10.2,1.14,7,3,3.44,12,0.465,15.8,11.6,28.6,15,8.46,6.8
HSS7X3X3/8,6.18,34.1,2.35,8.71,1.19,7,3,5.59,17,0.349,12.8,9.73,23.9,12.1,6.95,5.81
HSS7X3X5/16,5.26,29.9,2.38,7.74,1.21,7,3,7.32,21.1,0.291,11.1,8.54,20.9,10.5,6.05,5.16
HSS7X3X1/4,4.3,25.2,2.42,6.6,1.24,7,3,9.87,27,0.233,9.22,7.19,17.5,8.68,5.06,4.4
HSS7X3X3/16,3.28,19.8,2.45,5.24,1.26,7,3,14.3,37.2,0.174,7.14,5.65,13.7,6.69,3.94,3.5
HSS7X3X1/8,2.23,13.8,2.49,3.71,1.29,7,3,22.8,57.3,0.116,4.93,3.95,9.48,4.6,2.73,2.48
HSS7X2X1/4,3.84,19.8,2.27,2.58,0.819,7,2,5.58,27,0.233,7.64,5.67,7.95,5.52,3.02,2.58
HSS7X2X3/16,2.93,15.7,2.31,2.1,0.845,7,2,8.51,37.2,0.174,5.95,4.49,6.35,4.32,2.39,2.1
HSS7X2X1/8,2,11.1,2.35,1.52,0.871,7,2,14.2,57.3,0.116,4.13,3.16,4.51,3,1.68,1.52
HSS6X6X5/8,11.7,55.2,2.17,55.2,2.17,6,6,7.33,7.33,0.581,23.2,18.4,94.9,33.4,23.2,18.4
HSS6X6X1/2,9.74,48.3,2.23,48.3,2.23,6,6,9.91,9.91,0.465,19.8,16.1,81.1,28.1,19.8,16.1
HSS6X6X3/8,7.58,39.5,2.28,39.5,2.28,6,6,14.2,14.2,0.349,15.8,13.2,64.6,22.1,15.8,13.2
HSS6X6X5/16,6.43,34.3,2.31,34.3,2.31,6,6,17.6,17.6,0.291,13.6,11.4,55.4,18.9,13.6,11.4
HSS6X6X1/4,5.24,28.6,2.34,28.6,2.34,6,6,22.7,22.7,0.233,11.2,9.54,45.6,15.4,11.2,9.54
HSS6X6X3/16,3.98,22.3,2.37,22.3,2.37,6,6,31.5,31.5,0.174,8.63,7.42,35,11.8,8.63,7.42
HSS6X6X1/8,2.7,15.5,2.39,15.5,2.39,6,6,48.7,48.7,0.116,5.92,5.15,23.9,8.03,5.92,5.15
