ID,D,B,t,d,R,Area,wf/tf,Ix,Sx,rx,Iy,Sy,ry,x,m,J,Cw,j,ro,xo
800S250-97,8,2.5,0.1017,0.625,0.1526,1.37,4.67,12.8,3.2,3.05,1.01,0.546,0.858,0.65,1.01,0.00473,13.1,4.54,3.56,-1.61
800S250-68,8,2.5,0.0713,0.625,0.107,0.978,3.33,9.26,2.32,3.08,0.752,0.407,0.877,0.653,1.03,0.00166,9.65,4.45,3.6,-1.64
800S250-54,8,2.5,0.0566,0.625,0.0849,0.783,2.66,7.47,1.87,3.09,0.614,0.333,0.886,0.654,1.04,0.000836,7.85,4.42,3.62,-1.66
800S250-43,8,2.5,0.0451,0.625,0.0712,0.627,2.13,6.02,1.5,3.1,0.5,0.271,0.893,0.654,1.04,0.000425,6.37,4.39,3.63,-1.68
800S200-97,8,2,0.1017,0.625,0.1526,1.27,4.32,11.2,2.8,2.97,0.577,0.381,0.674,0.487,0.777,0.00438,7.68,4.76,3.28,-1.21
800S200-68,8,2,0.0713,0.625,0.107,0.907,3.08,8.14,2.04,3,0.435,0.288,0.692,0.488,0.796,0.00154,5.71,4.62,3.32,-1.25
800S200-54,8,2,0.0566,0.625,0.0849,0.726,2.47,6.57,1.64,3.01,0.357,0.236,0.701,0.489,0.804,0.000775,4.66,4.56,3.34,-1.27
800S200-43,8,2,0.0451,0.625,0.0712,0.582,1.98,5.3,1.33,3.02,0.292,0.193,0.708,0.489,0.811,0.000395,3.8,4.52,3.35,-1.28
800S162-97,8,1.625,0.1017,0.5,0.1526,1.17,3.97,9.71,2.43,2.88,0.305,0.239,0.511,0.349,0.568,0.00403,4.11,5.48,3.05,-0.866
800S162-68,8,1.625,0.0713,0.5,0.107,0.836,2.84,7.09,1.77,2.91,0.235,0.184,0.53,0.349,0.586,0.00142,3.09,5.22,3.09,-0.899
800S162-54,8,1.625,0.0566,0.5,0.0849,0.67,2.28,5.74,1.43,2.93,0.195,0.152,0.539,0.348,0.594,0.000715,2.54,5.11,3.11,-0.914
800S162-43,8,1.625,0.0451,0.5,0.0712,0.537,1.83,4.63,1.16,2.94,0.16,0.125,0.546,0.348,0.601,0.000364,2.08,5.04,3.13,-0.926
600S200-97,6,2,0.1017,0.625,0.1526,1.07,3.63,5.61,1.87,2.29,0.53,0.371,0.705,0.57,0.859,0.00368,4.08,3.35,2.77,-1.38
600S200-68,6,2,0.0713,0.625,0.107,0.764,2.6,4.1,1.37,2.32,0.4,0.28,0.723,0.573,0.878,0.0013,3.05,3.29,2.81,-1.42
600S200-54,6,2,0.0566,0.625,0.0849,0.613,2.08,3.32,1.11,2.33,0.329,0.23,0.732,0.574,0.887,0.000655,2.49,3.26,2.83,-1.43
600S200-43,6,2,0.0451,0.625,0.0712,0.492,1.67,2.68,0.894,2.34,0.268,0.188,0.739,0.574,0.894,0.000334,2.03,3.25,2.84,-1.45
600S200-33,6,2,0.0346,0.625,0.0765,0.379,1.29,2.08,0.692,2.34,0.209,0.147,0.743,0.574,0.901,0.000151,1.59,3.25,2.86,-1.46
600S162-97,6,1.625,0.1017,0.5,0.1526,0.966,3.28,4.8,1.6,2.23,0.283,0.233,0.542,0.411,0.636,0.00333,2.15,3.56,2.5,-0.997
600S162-68,6,1.625,0.0713,0.5,0.107,0.693,2.36,3.52,1.17,2.26,0.218,0.18,0.561,0.413,0.655,0.00117,1.63,3.43,2.54,-1.03
600S162-54,6,1.625,0.0566,0.5,0.0849,0.556,1.89,2.86,0.954,2.27,0.181,0.149,0.57,0.414,0.663,0.000594,1.34,3.38,2.56,-1.05
600S162-43,6,1.625,0.0451,0.5,0.0712,0.447,1.52,2.32,0.772,2.28,0.148,0.123,0.576,0.414,0.67,0.000303,1.1,3.35,2.58,-1.06
600S162-33,6,1.625,0.0346,0.5,0.0765,0.344,1.17,1.79,0.598,2.28,0.116,0.0959,0.581,0.413,0.677,0.000137,0.861,3.35,2.59,-1.07
550S162-68,5.5,1.625,0.0713,0.5,0.107,0.657,2.24,2.86,1.04,2.09,0.213,0.178,0.568,0.433,0.675,0.00111,1.34,3.08,2.41,-1.07
550S162-54,5.5,1.625,0.0566,0.5,0.0849,0.528,1.8,2.32,0.845,2.1,0.176,0.148,0.577,0.434,0.684,0.000564,1.1,3.04,2.43,-1.09
550S162-43,5.5,1.625,0.0451,0.5,0.0712,0.424,1.44,1.88,0.685,2.11,0.145,0.122,0.584,0.435,0.691,0.000288,0.905,3.02,2.45,-1.1
550S162-33,5.5,1.625,0.0346,0.5,0.0765,0.327,1.11,1.46,0.53,2.11,0.113,0.0952,0.589,0.434,0.697,0.00013,0.713,3.02,2.46,-1.11
400S200-68,4,2,0.0713,0.625,0.107,0.622,2.11,1.59,0.795,1.6,0.349,0.268,0.75,0.696,0.983,0.00105,1.32,2.45,2.41,-1.64
400S200-54,4,2,0.0566,0.625,0.0849,0.5,1.7,1.29,0.646,1.61,0.287,0.221,0.758,0.697,0.993,0.000534,1.08,2.45,2.43,-1.66
400S200-43,4,2,0.0451,0.625,0.0712,0.402,1.37,1.05,0.524,1.62,0.235,0.18,0.764,0.698,1,0.000272,0.886,2.45,2.45,-1.68
400S200-33,4,2,0.0346,0.625,0.0765,0.31,1.05,0.812,0.406,1.62,0.183,0.141,0.769,0.698,1.01,0.000124,0.697,2.46,2.46,-1.69
400S162-68,4,1.625,0.0713,0.5,0.107,0.55,1.87,1.35,0.673,1.56,0.192,0.173,0.591,0.511,0.745,0.000933,0.677,2.27,2.07,-1.22
400S162-54,4,1.625,0.0566,0.5,0.0849,0.443,1.51,1.1,0.549,1.57,0.159,0.143,0.6,0.512,0.754,0.000473,0.56,2.25,2.09,-1.24
400S162-43,4,1.625,0.0451,0.5,0.0712,0.357,1.21,0.892,0.446,1.58,0.131,0.118,0.606,0.513,0.761,0.000242,0.46,2.25,2.11,-1.25
400S162-33,4,1.625,0.0346,0.5,0.0765,0.275,0.935,0.692,0.346,1.59,0.103,0.0923,0.611,0.512,0.768,0.00011,0.363,2.25,2.12,-1.26
400S137-68,4,1.375,0.0713,0.375,0.107,0.497,1.69,1.17,0.583,1.53,0.112,0.113,0.475,0.384,0.574,0.000842,0.375,2.27,1.85,-0.922
400S137-54,4,1.375,0.0566,0.375,0.0849,0.401,1.36,0.953,0.477,1.54,0.0939,0.0949,0.484,0.385,0.583,0.000428,0.311,2.24,1.87,-0.94
400S137-43,4,1.375,0.0451,0.375,0.0712,0.323,1.1,0.776,0.388,1.55,0.0778,0.0787,0.491,0.386,0.591,0.000219,0.257,2.22,1.89,-0.954
400S137-33,4,1.375,0.0346,0.375,0.0765,0.249,0.847,0.603,0.302,1.56,0.0612,0.0618,0.496,0.385,0.597,0.0000994,0.204,2.22,1.9,-0.965
362S200-68,3.625,2,0.0713,0.625,0.107,0.595,2.02,1.27,0.698,1.46,0.337,0.265,0.753,0.726,1.01,0.00101,1.09,2.35,2.36,-1.7
362S200-54,3.625,2,0.0566,0.625,0.0849,0.479,1.63,1.03,0.568,1.47,0.277,0.218,0.761,0.727,1.02,0.000511,0.896,2.35,2.38,-1.72
362S200-43,3.625,2,0.0451,0.625,0.0712,0.385,1.31,0.836,0.461,1.47,0.227,0.178,0.767,0.728,1.02,0.000261,0.734,2.35,2.4,-1.73
362S200-33,3.625,2,0.0346,0.625,0.0765,0.297,1.01,0.648,0.358,1.48,0.177,0.139,0.772,0.728,1.03,0.000118,0.577,2.36,2.41,-1.74
362S162-68,3.625,1.625,0.0713,0.5,0.107,0.524,1.78,1.07,0.59,1.43,0.186,0.171,0.596,0.535,0.765,0.000887,0.552,2.12,2,-1.26
362S162-54,3.625,1.625,0.0566,0.5,0.0849,0.422,1.43,0.873,0.482,1.44,0.154,0.142,0.605,0.536,0.774,0.000451,0.457,2.11,2.02,-1.28
362S162-43,3.625,1.625,0.0451,0.5,0.0712,0.34,1.16,0.71,0.392,1.45,0.127,0.117,0.611,0.537,0.782,0.00023,0.376,2.11,2.04,-1.3
362S162-33,3.625,1.625,0.0346,0.5,0.0765,0.262,0.891,0.551,0.304,1.45,0.0993,0.0913,0.616,0.537,0.789,0.000105,0.297,2.12,2.05,-1.31
350S162-68,3.5,1.625,0.0713,0.5,0.107,0.515,1.75,0.985,0.563,1.38,0.184,0.17,0.597,0.544,0.772,0.000872,0.514,2.07,1.98,-1.28
350S162-54,3.5,1.625,0.0566,0.5,0.0849,0.415,1.41,0.804,0.46,1.39,0.152,0.141,0.606,0.545,0.782,0.000443,0.426,2.07,2,-1.3
350S162-43,3.5,1.625,0.0451,0.5,0.0712,0.334,1.14,0.655,0.374,1.4,0.125,0.116,0.612,0.546,0.789,0.000227,0.35,2.07,2.01,-1.31
350S162-33,3.5,1.625,0.0346,0.5,0.0765,0.258,0.876,0.508,0.291,1.4,0.0981,0.0909,0.617,0.546,0.796,0.000103,0.277,2.07,2.03,-1.32
