ID,D,B,t,R,Area,wt/ft,Ix,Sx,rx,Iy,Sy,ry,xm,m,J,Cw,j,ro,xo
600T200-97,6.356,2,0.1017,0.1525,1.01,3.45,5.77,1.82,2.39,0.355,0.226,0.591,0.432,0.635,0.0035,2.51,3.53,2.66,-1.02
600T200-68,6.25,2,0.0713,0.1069,0.712,2.42,3.99,1.28,2.37,0.254,0.161,0.597,0.422,0.644,0.00121,1.75,3.48,2.65,-1.03
600T200-54,6.198,2,0.0566,0.0849,0.565,1.92,3.14,1.01,2.36,0.204,0.129,0.6,0.418,0.649,0.000604,1.38,3.46,2.65,-1.04
600T200-43,6.161,2,0.0451,0.0712,0.451,1.53,2.49,0.81,2.35,0.163,0.103,0.602,0.414,0.652,0.000306,1.1,3.45,2.64,-1.04
600T200-33,6.146,2,0.0346,0.0764,0.346,1.18,1.91,0.623,2.35,0.126,0.0794,0.604,0.411,0.655,0.000138,0.847,3.44,2.65,-1.05
600T150-97,6.356,1.5,0.1017,0.1525,0.913,3.1,4.78,1.5,2.29,0.156,0.129,0.414,0.285,0.421,0.00315,1.14,3.95,2.42,-0.656
600T150-68,6.25,1.5,0.0713,0.1069,0.641,2.18,3.31,1.06,2.27,0.113,0.092,0.419,0.275,0.43,0.00109,0.797,3.87,2.41,-0.669
600T150-54,6.198,1.5,0.0566,0.0849,0.509,1.73,2.61,0.843,2.27,0.0907,0.0737,0.422,0.269,0.434,0.000543,0.632,3.84,2.4,-0.675
600T150-43,6.161,1.5,0.0451,0.0712,0.406,1.38,2.07,0.673,2.26,0.073,0.0592,0.424,0.265,0.437,0.000275,0.504,3.81,2.4,-0.68
600T150-33,6.146,1.5,0.0346,0.0764,0.311,1.06,1.59,0.517,2.26,0.0566,0.0457,0.426,0.262,0.439,0.000124,0.39,3.8,2.4,-0.684
600T125-97,6.356,1.25,0.1017,0.1525,0.862,2.93,4.28,1.35,2.23,0.0919,0.0894,0.327,0.221,0.321,0.00297,0.685,4.43,2.31,-0.491
600T125-68,6.25,1.25,0.0713,0.1069,0.605,2.06,2.97,0.95,2.22,0.0668,0.0642,0.332,0.21,0.329,0.00103,0.483,4.33,2.3,-0.503
600T125-54,6.198,1.25,0.0566,0.0849,0.48,1.63,2.34,0.756,2.21,0.0539,0.0516,0.335,0.204,0.332,0.000513,0.384,4.28,2.29,-0.508
600T125-43,6.161,1.25,0.0451,0.0712,0.383,1.3,1.86,0.604,2.21,0.0435,0.0415,0.337,0.2,0.335,0.00026,0.307,4.24,2.29,-0.513
600T125-33,6.146,1.25,0.0346,0.0764,0.294,0.999,1.43,0.465,2.2,0.0338,0.0321,0.339,0.196,0.337,0.000117,0.238,4.22,2.29,-0.516
600T125-30,6.141,1.25,0.0312,0.0781,0.265,0.901,1.29,0.42,2.2,0.0306,0.029,0.34,0.195,0.338,0.000086,0.215,4.22,2.29,-0.518
550T200-68,5.75,2,0.0713,0.1069,0.676,2.3,3.27,1.14,2.2,0.248,0.159,0.606,0.443,0.663,0.00115,1.43,3.16,2.52,-1.07
550T200-54,5.698,2,0.0566,0.0849,0.537,1.83,2.58,0.905,2.19,0.199,0.127,0.609,0.438,0.668,0.000573,1.13,3.14,2.52,-1.08
550T200-43,5.661,2,0.0451,0.0712,0.428,1.46,2.04,0.722,2.19,0.16,0.102,0.611,0.435,0.671,0.00029,0.9,3.13,2.51,-1.08
550T200-33,5.646,2,0.0346,0.0764,0.329,1.12,1.57,0.555,2.18,0.123,0.0787,0.613,0.431,0.674,0.000131,0.694,3.12,2.52,-1.09
